Index,CustomerId,Name,Company,City,Country,Phone 1,Phone 2,Email,Subscription Date,Website,Phone 1 Blanks,Phone 2 Blanks,Customer ID Lengths,Subscriptions Before 2022
1,DD37Cf93aecA6Dc,Sheryl Baxter,Rasmussen Group,East Leonard,Chile,229-077-5154,229-077-5154,zunigavanessa@smith.info,8/24/20,http://www.stephenson.com/,FALSE,FALSE,15,161
2,1Ef7b82A4CAAD10,Preston Lozano,Vega-Gentry,East Jimmychester,Djibouti,515-343-5776,515-343-5776,vmata@colon.com,4/23/21,http://www.hobbs.com/,FALSE,FALSE,15,
3,6F94879bDAfE5a6,Roy Berry,Murillo-Perry,Isabelborough,Antigua and Barbuda,-1199,-1199,beckycarr@hogan.com,3/25/20,http://www.lawrence.com/,FALSE,FALSE,15,
4,5Cef8BFA16c5e3c,Linda Olsen,"Dominguez, Mcmillan and Donovan",Bensonview,Dominican Republic,808-617-6467,808-617-6467,stanleyblackwell@benson.org,6/2/20,http://www.good-lyons.com/,FALSE,FALSE,15,
5,053d585Ab6b3159,Joanna Bender,"Martin, Lang and Andrade",West Priscilla,Slovakia (Slovak Republic),234-203-0635,234-203-0635,colinalvarado@miles.net,4/17/21,https://goodwin-ingram.com/,FALSE,FALSE,15,
6,2d08FB17EE273F4,Aimee Downs,Steele Group,Chavezborough,Bosnia and Herzegovina,283-437-3886,283-437-3886,louis27@gilbert.com,2/25/20,http://www.berger.net/,FALSE,FALSE,15,
7,EA4d384DfDbBf77,Darren Peck,"Lester, Woodard and Mitchell",Lake Ana,Pitcairn Islands,496-452-6181,496-452-6181,tgates@cantrell.com,8/24/21,https://www.le.com/,FALSE,FALSE,15,
8,0e04AFde9f225dE,Brett Mullen,"Sanford, Davenport and Giles",Kimport,Bulgaria,583-352-7197,583-352-7197,asnow@colon.com,4/12/21,https://hammond-ramsey.com/,FALSE,FALSE,15,
9,C2dE4dEEc489ae0,Sheryl Meyers,Browning-Simon,Robersonstad,Cyprus,854-138-4911,854-138-4911,mariokhan@ryan-pope.org,1/13/20,https://www.bullock.net/,FALSE,FALSE,15,
10,8C2811a503C7c5a,Michelle Gallagher,Beck-Hendrix,Elaineberg,Timor-Leste,739-218-2516,739-218-2516,mdyer@escobar.net,11/8/21,https://arias.com/,FALSE,FALSE,15,
11,216E205d6eBb815,Carl Schroeder,"Oconnell, Meza and Everett",Shannonville,Guernsey,637-854-0256,637-854-0256,kirksalas@webb.com,10/20/21,https://simmons-hurley.com/,FALSE,FALSE,15,
12,CEDec94deE6d69B,Jenna Dodson,"Hoffman, Reed and Mcclain",East Andrea,Vietnam,041-737-3846,041-737-3846,mark42@robbins.com,11/29/20,http://www.douglas.net/,FALSE,FALSE,15,
13,e35426EbDEceaFF,Tracey Mata,Graham-Francis,South Joannamouth,Togo,949-844-8787,949-844-8787,alex56@walls.org,12/2/21,http://www.beck.com/,FALSE,FALSE,15,
14,A08A8aF8BE9FaD4,Kristine Cox,Carpenter-Cook,Jodyberg,Sri Lanka,786-284-3358,786-284-3358,holdenmiranda@clarke.com,2/8/21,https://www.brandt.com/,FALSE,FALSE,15,
15,6fEaA1b7cab7B6C,Faith Lutz,Carter-Hancock,Burchbury,Singapore,781-861-7180,781-861-7180,cassieparrish@blevins-chapman.net,1/26/22,http://stevenson.org/,FALSE,FALSE,15,
16,8cad0b4CBceaeec,Miranda Beasley,Singleton and Sons,Desireeshire,Oman,540-085-3135,540-085-3135,vduncan@parks-hardy.com,4/12/22,http://acosta.org/,FALSE,FALSE,15,
17,a5DC21AE3a21eaA,Caroline Foley,Winters-Mendoza,West Adriennestad,Western Sahara,936-222-4746,936-222-4746,holtgwendolyn@watson-davenport.com,3/10/21,http://www.benson-roth.com/,FALSE,FALSE,15,
18,F8Aa9d6DfcBeeF8,Greg Mata,Valentine LLC,Lake Leslie,Mozambique,701-087-2415,701-087-2415,jaredjuarez@carroll.org,3/26/22,http://pitts-cherry.com/,FALSE,FALSE,15,
19,F160f5Db3EfE973,Clifford Jacobson,Simon LLC,Harmonview,South Georgia and the South Sandwich Islands,151-330-3524,151-330-3524,joseph26@jacobson.com,9/24/20,https://mcconnell.com/,FALSE,FALSE,15,
20,0F60FF3DdCd7aB0,Joanna Kirk,Mays-Mccormick,Jamesshire,French Polynesia,266-131-7001,266-131-7001,tuckerangie@salazar.net,9/24/21,https://www.camacho.net/,FALSE,FALSE,15,
21,9F9AdB7B8A6f7F2,Maxwell Frye,Patterson Inc,East Carly,Malta,423-262-3059,423-262-3059,fgibson@drake-webb.com,1/12/22,http://www.roberts.com/,FALSE,FALSE,15,
22,FBd0Ded4F02a742,Kiara Houston,"Manning, Hester and Arroyo",South Alvin,Netherlands,274-040-3582,274-040-3582,blanchardbob@wallace-shannon.com,9/15/20,https://www.reid-potts.com/,FALSE,FALSE,15,
23,2FB0FAA1d429421,Colleen Howard,Greer and Sons,Brittanyview,Paraguay,193-508-5151,193-508-5151,rsingleton@ryan-cherry.com,8/19/20,http://paul.biz/,FALSE,FALSE,15,
24,010468dAA11382c,Janet Valenzuela,Watts-Donaldson,Veronicamouth,Lao People's Democratic Republic,354-259-5062,354-259-5062,stefanie71@spence.com,9/8/20,https://moreno.biz/,FALSE,FALSE,15,
25,eC1927Ca84E033e,Shane Wilcox,Tucker LLC,Bryanville,Albania,429-005-9030,429-005-9030,mariah88@santos.com,4/6/21,https://www.ramos.com/,FALSE,FALSE,15,
26,09D7D7C8Fe09aea,Marcus Moody,Giles Ltd,Kaitlyntown,Panama,674-677-8623,674-677-8623,donnamullins@norris-barrett.org,5/24/22,https://www.curry.com/,FALSE,FALSE,15,
27,aBdfcF2c50b0bfD,Dakota Poole,Simmons Group,Michealshire,Belarus,371-987-8576,371-987-8576,stacey67@fields.org,2/20/22,https://sanford-wilcox.biz/,FALSE,FALSE,15,
28,b92EBfdF8a3f0E6,Frederick Harper,"Hinton, Chaney and Stokes",South Marissatown,Switzerland,-1755,-1755,jacobkhan@bright.biz,5/26/22,https://callahan.org/,FALSE,FALSE,15,
29,3B5dAAFA41AFa22,Stefanie Fitzpatrick,Santana-Duran,Acevedoville,Saint Vincent and the Grenadines,752-776-3286,752-776-3286,wterrell@clark.com,7/30/20,https://meyers.com/,FALSE,FALSE,15,
30,EDA69ca7a6e96a2,Kent Bradshaw,Sawyer PLC,North Harold,Tanzania,-5651,-5651,qjimenez@boyd.com,4/26/20,http://maynard-ho.com/,FALSE,FALSE,15,
31,64DCcDFaB9DFd4e,Jack Tate,"Acosta, Petersen and Morrow",West Samuel,Zimbabwe,965-108-4406,965-108-4406,gfigueroa@boone-zavala.com,9/15/21,http://www.hawkins-ramsey.com/,FALSE,FALSE,15,
32,679c6c83DD872d6,Tom Trujillo,Mcgee Group,Cunninghamborough,Denmark,416-338-3758,416-338-3758,tapiagreg@beard.info,1/13/22,http://www.daniels-klein.com/,FALSE,FALSE,15,
33,7Ce381e4Afa4ba9,Gabriel Mejia,Adkins-Salinas,Port Annatown,Liechtenstein,407-724-5425,407-724-5425,coleolson@jennings.net,4/24/21,https://patel-hanson.info/,FALSE,FALSE,15,
34,A09AEc6E3bF70eE,Kaitlyn Santana,Herrera Group,New Kaitlyn,United States of America,630-364-3286,630-364-3286,georgeross@miles.org,9/21/21,http://pham.com/,FALSE,FALSE,15,
35,aA9BAFfBc3710fe,Faith Moon,"Waters, Chase and Aguilar",West Marthaburgh,Bahamas,-1161,-1161,willistonya@randolph-baker.com,11/3/21,https://spencer-charles.info/,FALSE,FALSE,15,
36,E11dfb2DB8C9f72,Tammie Haley,"Palmer, Barnes and Houston",East Teresa,Belize,276-734-4113,276-734-4113,harrisisaiah@jenkins.com,1/4/22,http://evans-simon.com/,FALSE,FALSE,15,
37,889eCf90f68c5Da,Nicholas Sosa,Jordan Ltd,South Hunter,Uruguay,661-425-6042,661-425-6042,fwolfe@dorsey.com,8/10/21,https://www.fleming-richards.com/,FALSE,FALSE,15,
38,7a1Ee69F4fF4B4D,Jordan Gay,Glover and Sons,South Walter,Solomon Islands,720-841-7020,720-841-7020,tiffanydavies@harris-mcfarland.org,2/24/21,http://www.lee.org/,FALSE,FALSE,15,
39,dca4f1D0A0fc5c9,Bruce Esparza,Huerta-Mclean,Poolefurt,Montenegro,559-529-4424,559-529-4424,preese@frye-vega.com,10/22/21,http://www.farley.org/,FALSE,FALSE,15,
40,17aD8e2dB3df03D,Sherry Garza,Anderson Ltd,West John,Poland,067-713-6440,067-713-6440,ann48@miller.com,11/1/21,http://spence.com/,FALSE,FALSE,15,
41,2f79Cd309624Abb,Natalie Gentry,Monroe PLC,West Darius,Dominican Republic,830-996-8238,830-996-8238,tcummings@fitzpatrick-ashley.com,10/10/20,http://www.dorsey.biz/,FALSE,FALSE,15,
42,6e5ad5a5e2bB5Ca,Bryan Dunn,Kaufman and Sons,North Jimstad,Burkina Faso,710-802-5565,710-802-5565,woodwardandres@phelps.com,9/8/21,http://www.butler.com/,FALSE,FALSE,15,
43,7E441b6B228DBcA,Wayne Simpson,Perkins-Trevino,East Rebekahborough,Bolivia,344-156-8632,344-156-8632,barbarapittman@holder.com,12/13/20,https://gillespie-holder.com/,FALSE,FALSE,15,
44,D3fC11A9C235Dc6,Luis Greer,Cross PLC,North Drew,Bulgaria,336-025-6849,336-025-6849,bstuart@williamson-mcclure.com,5/15/22,https://fletcher-nielsen.com/,FALSE,FALSE,15,
45,30Dfa48fe5Ede78,Rhonda Frost,"Herrera, Shepherd and Underwood",Lake Lindaburgh,Monaco,127-081-9339,127-081-9339,zkrueger@wolf-chavez.net,12/6/21,http://www.khan.com/,FALSE,FALSE,15,
46,fD780ED8dbEae7B,Joanne Montes,"Price, Sexton and Mcdaniel",Gwendolynview,Palau,897-726-7952,897-726-7952,juan80@henson.net,7/1/20,http://ochoa.com/,FALSE,FALSE,15,
47,300A40d3ce24bBA,Geoffrey Guzman,Short-Wiggins,Zimmermanland,Uzbekistan,975-235-8921,975-235-8921,bauercrystal@gay.com,4/23/20,https://decker-kline.com/,FALSE,FALSE,15,
48,283DFCD0Dba40aF,Gloria Mccall,"Brennan, Acosta and Ramos",North Kerriton,Ghana,445-603-6729,445-603-6729,bartlettjenna@zuniga-moss.biz,3/11/22,http://burgess-frank.com/,FALSE,FALSE,15,
